Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Lowndes County,13185,17.82,38.27,40.95,76.04,0.97,0.8,3.47,15.79,56.85,0.62,6.34,1.72,39.37,0.61,0.28,0.95,8.26,1.83,0.24,0.04,0.27,0.01,0.57,63.93,75.53
Lumpkin County,13187,13.48,34.88,36.71,77.59,0.64,0.84,3.06,13.29,53.72,0.12,0.82,1.76,35.18,0.37,0.19,0.9,5.01,0.92,0.26,0.03,0.09,0.01,0.39,75.27,82.49
McDuffie County,13189,18.21,42.36,48.77,73.76,1.07,1.34,4.55,18.87,62.1,0.37,3.74,2.15,63.24,0.65,0.21,1.15,6.39,2.05,0.35,0.05,0.19,0.06,0.65,58.71,68.95
McIntosh County,13191,17.84,40.9,44.92,78.08,0.82,1.04,3.24,13.24,48.17,0.41,3.54,1.58,26.6,0.54,0.21,1.06,6.37,1.36,0.28,0.05,0.29,0.02,0.63,53.72,63.14
Macon County,13193,22.15,40.84,49.97,73.79,1.09,1.34,4.58,18.87,61.27,0.68,7.04,2.1,51.56,0.77,0.26,1.38,6.84,2.39,0.42,0.04,0.13,0.07,0.66,49.47,60.75
Madison County,13195,14.84,40.19,39.76,75.42,0.78,1.14,3.64,15.92,59.92,0.21,1.49,1.73,26.82,0.41,0.21,1.13,6.98,1.22,0.3,0.03,0.12,0.04,0.48,83.91,93.71
Marion County,13197,18.15,39.72,46.11,75.69,0.99,1.18,3.81,16.11,56.36,0.52,3.57,1.71,42.28,0.59,0.19,1.12,5.79,1.59,0.35,0.05,0.13,0.02,0.55,62.81,71.85
Meriwether County,13199,18.04,41.65,48.41,74.87,0.98,1.25,4.57,17.62,56.11,0.4,4.86,1.78,34.48,0.63,0.21,1.04,5.17,1.38,0.43,0.02,0.12,0.01,0.58,48.42,56.59
Miller County,13201,17.2,38.48,43.37,75.41,1.07,1.34,4.06,16.99,54.61,0.31,4.11,1.56,50.69,0.57,0.22,1.01,6.36,1.54,0.32,0.06,0.14,0.02,0.54,56.79,66.25
Mitchell County,13205,19.93,42.13,50.85,75.1,0.97,1.24,4.05,17.02,57.56,0.56,6.94,2.12,44.9,0.66,0.26,1.13,6.21,1.96,0.3,0.03,0.12,0.01,0.46,49.01,58.76
Monroe County,13207,15.24,38.84,42.08,77.13,0.77,1.0,3.23,13.81,53.98,0.28,2.28,1.95,41.25,0.46,0.14,0.84,5.45,1.23,0.35,0.02,0.09,0.01,0.48,44.77,52.78
Montgomery County,13209,18.13,39.4,46.1,75.87,0.85,1.11,3.66,16.02,56.6,0.35,3.1,1.95,40.9,0.51,0.24,1.08,6.82,1.39,0.31,0.03,0.16,0.01,0.51,73.91,83.7
Morgan County,13211,15.03,38.12,39.96,77.33,0.78,1.09,3.27,14.06,51.31,0.2,1.88,1.96,24.19,0.43,0.18,0.93,5.54,1.16,0.3,0.02,0.09,0.02,0.43,41.86,49.92
Murray County,13213,16.14,40.36,42.66,74.91,0.77,1.08,3.61,16.9,62.33,0.2,0.76,2.14,38.6,0.41,0.26,1.07,7.19,1.13,0.28,0.1,0.14,0.02,0.54,88.12,98.05
Muscogee County,13215,17.97,37.42,44.88,75.13,1.1,0.84,3.71,17.71,57.79,0.67,6.32,2.06,36.54,0.69,0.31,0.92,7.64,1.78,0.32,0.01,0.1,0.01,0.44,59.25,70.04
Newton County,13217,17.03,38.12,38.84,76.05,0.78,1.05,3.33,15.47,57.9,0.35,3.53,2.72,42.18,0.55,0.23,1.1,7.01,1.45,0.32,0.03,0.1,0.02,0.47,59.9,69.92
Oconee County,13219,11.14,33.44,30.9,80.43,0.5,0.67,2.1,9.03,47.34,0.16,0.92,1.59,18.06,0.3,0.14,0.71,5.94,0.72,0.25,0.02,0.1,0.02,0.38,43.92,51.67
Oglethorpe County,13221,15.45,40.14,40.39,77.93,0.72,1.0,3.08,12.84,51.25,0.2,1.32,1.71,20.9,0.39,0.16,0.98,5.62,1.23,0.29,0.05,0.22,0.27,0.83,50.03,58.68
Paulding County,13223,16.03,38.03,33.05,78.27,0.51,0.79,2.47,12.53,53.76,0.23,1.18,3.28,37.02,0.41,0.17,0.78,6.26,0.88,0.31,0.03,0.15,0.01,0.51,57.49,65.91
Peach County,13225,18.38,39.77,43.92,73.82,1.12,1.12,4.63,18.66,61.39,0.6,7.89,2.01,43.32,0.65,0.22,1.09,6.79,1.99,0.33,0.04,0.19,0.05,0.61,60.43,70.91
Pickens County,13227,13.07,36.2,34.54,77.37,0.75,1.01,3.1,13.54,53.64,0.15,0.9,2.56,36.13,0.43,0.2,0.91,5.88,1.06,0.31,0.03,0.1,0.02,0.46,67.67,75.98
Pierce County,13229,15.77,39.46,43.74,74.67,0.92,1.27,3.9,17.23,61.15,0.31,2.7,1.45,37.79,0.43,0.26,1.01,7.38,1.31,0.26,0.04,0.28,0.01,0.59,84.59,94.88
Pike County,13231,14.39,38.64,41.06,75.85,0.84,1.07,3.37,15.48,59.05,0.24,2.04,1.39,42.95,0.44,0.16,0.85,5.5,0.94,0.32,0.02,0.12,0.01,0.47,68.01,75.78
Polk County,13233,16.84,36.55,40.35,73.53,0.94,1.3,4.39,19.1,63.75,0.42,2.13,2.39,41.12,0.52,0.2,1.12,8.23,1.25,0.39,0.02,0.15,0.02,0.58,84.82,96.0
Pulaski County,13235,17.83,41.43,47.16,76.85,0.82,1.03,3.28,14.61,54.03,0.41,4.48,1.72,42.54,0.52,0.21,1.0,6.16,1.6,0.34,0.03,0.1,0.01,0.48,48.64,57.88
Putnam County,13237,15.78,37.24,41.7,77.12,0.93,1.12,3.65,13.33,52.53,0.28,2.21,2.14,40.8,0.52,0.18,0.97,4.78,1.25,0.29,0.02,0.14,0.03,0.48,49.22,56.7
Quitman County,13239,19.83,45.25,54.41,75.81,1.16,1.36,4.11,15.48,53.33,0.59,6.52,2.02,41.63,0.72,0.2,1.18,6.21,1.92,0.38,0.08,0.22,0.08,0.76,47.26,57.33
Rabun County,13241,13.86,35.02,36.91,77.48,0.77,1.04,3.43,13.67,50.75,0.21,1.33,1.73,37.29,0.41,0.26,0.89,5.34,0.99,0.25,0.07,0.25,0.03,0.59,59.09,66.9
Randolph County,13243,21.27,43.95,55.02,74.9,1.16,1.38,4.36,17.19,57.03,0.67,6.63,2.17,47.25,0.79,0.21,1.25,5.67,2.06,0.41,0.04,0.1,0.02,0.57,43.57,53.12
Richmond County,13245,17.88,36.56,44.06,74.07,1.03,1.02,4.52,19.15,59.85,0.62,8.9,3.06,52.1,0.86,0.5,1.24,6.58,2.0,0.28,0.02,0.2,0.04,0.54,55.88,66.23
Rockdale County,13247,16.65,33.49,38.04,78.22,0.66,0.84,2.66,11.8,53.24,0.48,3.82,3.19,32.01,0.55,0.27,0.99,6.17,1.6,0.29,0.06,0.13,0.06,0.54,49.33,58.64
Schley County,13249,16.87,41.7,47.05,76.26,0.84,1.14,3.54,15.17,56.01,0.28,2.26,1.39,33.61,0.45,0.16,0.92,5.34,1.38,0.42,0.07,0.13,0.03,0.65,46.14,54.43
Screven County,13251,18.38,42.95,50.39,74.32,1.08,1.23,4.23,18.24,59.52,0.5,5.01,2.09,30.97,0.61,0.24,1.22,5.39,2.27,0.29,0.02,0.18,0.02,0.52,59.76,69.15
Seminole County,13253,16.69,38.52,44.93,74.91,1.04,1.29,4.19,16.5,58.96,0.34,4.35,1.69,28.59,0.57,0.24,0.97,6.94,1.51,0.29,0.06,0.16,0.01,0.52,63.59,73.54
Spalding County,13255,17.51,40.01,46.92,74.62,0.94,1.13,4.09,18.07,59.94,0.4,5.18,1.68,58.2,0.62,0.23,1.04,6.79,1.58,0.35,0.02,0.09,0.01,0.47,78.17,88.04
Stephens County,13257,15.05,37.85,43.39,74.51,0.92,1.24,4.15,17.78,60.58,0.3,1.93,2.17,41.8,0.48,0.31,1.11,6.6,1.58,0.3,0.02,0.1,0.02,0.44,84.68,94.41
Stewart County,13259,23.77,38.62,55.33,74.36,1.18,1.43,4.65,17.9,57.26,0.83,5.87,2.03,74.06,0.79,0.21,1.27,5.94,1.84,0.42,0.04,0.12,0.03,0.61,50.69,60.35
Sumter County,13261,19.54,37.85,47.98,74.95,1.01,1.1,4.06,17.12,58.67,0.57,6.05,1.9,38.85,0.7,0.22,1.22,6.08,2.5,0.35,0.05,0.1,0.02,0.51,48.93,59.24
Talbot County,13263,20.48,41.88,51.11,74.41,1.08,1.4,4.66,17.02,59.24,0.43,3.83,2.18,45.93,0.73,0.17,1.22,6.71,1.82,0.41,0.02,0.1,0.02,0.55,55.47,65.78
Taliaferro County,13265,22.18,45.25,55.91,75.44,1.07,1.33,4.2,16.65,54.17,0.45,3.83,2.59,46.86,0.73,0.21,1.34,6.36,2.29,0.51,0.05,0.23,0.15,0.94,46.84,57.78
Tattnall County,13267,17.93,39.93,49.76,74.93,0.91,1.26,3.68,17.1,59.84,0.46,4.27,1.67,43.13,0.57,0.28,1.13,8.57,1.52,0.31,0.03,0.39,0.02,0.76,73.96,85.94
Taylor County,13269,19.15,41.98,48.45,74.58,1.03,1.37,4.33,17.7,57.99,0.4,4.2,1.95,43.66,0.63,0.2,1.11,5.9,1.62,0.37,0.03,0.12,0.02,0.54,64.09,73.27
Telfair County,13271,20.78,39.78,46.95,76.02,0.93,1.2,3.71,16.04,53.96,0.58,5.09,2.17,36.98,0.61,0.33,1.17,6.4,1.8,0.31,0.03,0.14,0.01,0.49,68.5,78.37
Terrell County,13273,20.88,44.33,57.39,73.99,1.3,1.51,4.59,18.22,58.58,0.66,6.22,2.06,36.53,0.75,0.2,1.29,6.65,2.32,0.39,0.07,0.1,0.02,0.57,55.72,66.54
Thomas County,13275,17.09,34.56,44.5,75.52,1.0,1.15,3.98,16.35,56.02,0.47,6.9,2.06,47.06,0.62,0.26,1.15,5.94,1.91,0.25,0.02,0.09,0.01,0.36,45.34,54.7
Tift County,13277,17.99,37.06,45.38,75.36,0.96,1.11,3.79,16.8,57.9,0.52,4.97,1.82,31.55,0.55,0.29,1.11,7.7,1.5,0.26,0.05,0.25,0.01,0.57,64.4,75.27
Toombs County,13279,17.39,38.41,45.48,74.15,0.93,1.27,4.26,18.09,62.1,0.39,3.94,1.99,48.23,0.53,0.28,1.17,8.32,1.63,0.3,0.02,0.22,0.01,0.56,81.98,93.67
Towns County,13281,13.56,35.57,35.44,78.24,0.81,0.99,3.24,12.85,48.18,0.15,0.97,1.66,33.04,0.39,0.24,0.89,5.82,0.99,0.27,0.03,0.19,0.02,0.5,48.19,56.4
Treutlen County,13283,18.55,42.7,49.0,75.09,1.0,1.26,4.13,16.3,57.81,0.37,3.8,1.94,42.56,0.55,0.22,1.25,7.27,1.74,0.33,0.03,0.18,0.02,0.55,78.85,89.66
Troup County,13285,17.05,38.27,41.37,75.14,0.91,1.12,3.96,17.36,57.71,0.44,4.1,1.84,38.41,0.63,0.2,1.08,6.35,1.36,0.37,0.01,0.15,0.01,0.54,59.75,69.07
Turner County,13287,19.53,42.09,52.45,74.14,1.06,1.44,4.35,17.51,61.74,0.82,8.47,1.96,40.58,0.62,0.22,1.28,6.68,2.31,0.31,0.04,0.14,0.01,0.5,74.57,85.33
Twiggs County,13289,19.41,43.69,52.27,74.66,1.0,1.33,4.4,17.0,59.29,0.41,4.3,2.44,43.37,0.63,0.18,1.22,6.45,1.67,0.39,0.08,0.14,0.03,0.64,61.48,71.45
Union County,13291,13.39,33.4,33.94,78.44,0.77,1.02,3.19,12.26,48.55,0.13,0.87,1.91,40.41,0.4,0.23,0.87,4.65,0.97,0.24,0.02,0.1,0.02,0.38,47.55,54.42
Upson County,13293,16.77,41.15,45.92,73.71,0.95,1.15,4.45,19.11,62.74,0.36,4.95,2.12,59.03,0.61,0.18,1.06,7.07,1.44,0.4,0.02,0.11,0.01,0.55,81.67,91.79
Walker County,13295,16.52,40.47,41.21,74.85,0.81,1.07,3.72,17.29,61.37,0.35,1.25,2.2,30.51,0.43,0.22,1.27,7.2,1.11,0.31,0.09,0.16,0.02,0.58,79.4,89.56
Walton County,13297,14.86,36.76,38.28,76.6,0.77,1.07,3.21,14.79,55.76,0.19,1.77,1.87,26.92,0.42,0.28,0.98,6.59,1.14,0.31,0.02,0.09,0.01,0.43,64.79,73.94
Ware County,13299,17.34,38.05,44.64,74.22,1.04,1.21,4.27,18.61,59.57,0.48,4.82,2.19,41.23,0.59,0.31,1.1,8.44,1.87,0.27,0.02,0.28,0.01,0.59,82.53,94.54
Warren County,13301,21.26,42.51,53.04,74.26,1.23,1.43,4.53,18.01,58.37,0.43,4.74,2.63,61.61,0.82,0.21,1.33,6.98,2.68,0.44,0.03,0.15,0.09,0.71,55.77,67.48
Washington County,13303,19.62,40.81,50.18,75.1,1.0,1.24,4.19,17.26,56.48,0.35,3.35,2.0,47.18,0.66,0.19,1.17,6.47,2.32,0.41,0.02,0.19,0.06,0.69,52.54,63.19
Wayne County,13305,16.59,40.63,42.94,74.93,0.93,1.14,3.75,16.77,60.83,0.38,2.7,1.3,41.7,0.47,0.27,1.02,6.99,1.3,0.27,0.04,0.68,0.02,1.01,73.99,84.32
Webster County,13307,19.51,39.38,47.51,77.87,0.9,1.09,3.32,13.06,48.03,0.46,4.36,1.71,43.65,0.62,0.17,1.01,5.19,1.47,0.33,0.07,0.13,0.02,0.55,42.77,50.98
Wheeler County,13309,20.53,41.67,49.45,76.49,0.84,1.1,3.47,15.13,54.5,0.48,3.08,2.18,35.03,0.59,0.28,1.18,6.64,1.58,0.33,0.03,0.14,0.02,0.51,65.98,75.89
White County,13311,13.67,34.54,35.21,78.14,0.77,0.96,3.19,12.69,49.43,0.14,1.08,1.97,27.0,0.43,0.24,0.86,4.97,1.2,0.28,0.02,0.1,0.01,0.41,58.88,66.33
Whitfield County,13313,17.12,38.67,39.19,77.06,0.66,0.83,2.91,14.46,55.4,0.39,1.24,2.1,34.45,0.43,0.35,1.0,6.17,1.06,0.24,0.03,0.13,0.01,0.4,63.67,72.31
Wilcox County,13315,19.42,41.18,48.75,75.03,0.99,1.25,3.94,17.3,57.94,0.55,7.12,1.88,55.07,0.63,0.24,1.27,6.92,2.2,0.34,0.04,0.12,0.01,0.51,73.82,84.72
Wilkes County,13317,18.59,41.21,47.37,74.85,1.03,1.3,4.2,17.07,58.5,0.31,3.41,1.95,41.79,0.64,0.22,1.24,5.94,1.94,0.36,0.04,0.15,0.09,0.63,58.53,68.28
Wilkinson County,13319,18.59,39.5,45.93,74.74,1.0,1.37,4.22,17.45,58.25,0.31,2.75,1.97,43.03,0.61,0.19,1.27,6.89,1.87,0.46,0.06,0.38,0.06,0.96,67.92,78.92
Worth County,13321,17.78,40.88,45.73,76.49,0.88,1.08,3.57,14.73,54.46,0.37,3.76,1.62,33.9,0.52,0.19,1.1,6.25,1.81,0.32,0.04,0.15,0.01,0.52,62.31,71.99
Hawaii County,15001,11.51,29.15,28.0,80.15,0.58,0.9,2.94,10.85,42.06,0.21,1.1,0.48,24.08,0.33,0.25,0.83,4.29,1.5,0.14,0.05,0.1,0.03,0.32,24.94,31.89
Honolulu County,15003,12.48,27.99,25.46,81.37,0.56,0.56,2.1,9.87,40.45,0.32,1.05,0.49,34.68,0.32,0.34,0.65,4.62,1.46,0.11,0.01,0.07,0.01,0.2,19.28,26.2
Kalawao County,15005,11.57,30.25,28.05,80.99,0.5,0.75,2.5,10.15,40.65,0.25,0.84,0.47,19.61,0.28,0.27,0.81,5.2,1.88,0.14,0.02,0.09,0.02,0.27,23.89,32.05
Kalawao County,15005,11.57,30.25,28.05,80.99,0.5,0.75,2.5,10.15,40.65,0.25,0.84,0.47,19.61,0.28,0.27,0.81,5.2,1.88,0.14,0.02,0.09,0.02,0.27,23.89,32.05
Kalawao County,15005,11.57,30.25,28.05,80.99,0.5,0.75,2.5,10.15,40.65,0.25,0.84,0.47,19.61,0.28,0.27,0.81,5.2,1.88,0.14,0.02,0.09,0.02,0.27,23.89,32.05
Kalawao County,15005,11.57,30.25,28.05,80.99,0.5,0.75,2.5,10.15,40.65,0.25,0.84,0.47,19.61,0.28,0.27,0.81,5.2,1.88,0.14,0.02,0.09,0.02,0.27,23.89,32.05
Kauai County,15007,11.67,26.89,25.59,81.07,0.53,0.72,2.42,9.95,40.52,0.18,0.84,0.52,26.76,0.3,0.24,0.71,4.67,1.82,0.13,0.03,0.07,0.02,0.24,20.94,28.39
Maui County,15009,11.57,,,80.99,0.5,0.75,2.5,10.15,40.65,0.25,0.84,0.47,19.61,0.28,0.27,0.81,5.2,1.88,0.14,0.02,0.09,0.02,0.27,23.89,32.05
Ada County,16001,11.81,31.42,30.22,80.75,0.53,0.65,1.9,9.08,45.95,0.11,0.45,1.45,15.7,0.28,0.18,0.94,6.77,0.99,0.15,0.01,0.09,0.01,0.26,45.7,54.67
Adams County,16003,12.27,36.52,36.72,80.6,0.54,0.76,2.39,9.76,43.64,0.08,0.27,1.3,13.37,0.27,0.22,0.9,4.86,1.16,0.16,0.02,0.29,0.06,0.54,35.02,42.47
Bannock County,16005,13.85,35.44,37.02,77.86,0.67,0.84,2.97,12.52,53.47,0.13,0.43,1.35,27.72,0.38,0.25,1.14,7.83,1.15,0.28,0.04,1.14,0.08,1.54,53.67,65.33
Bear Lake County,16007,12.14,33.0,32.27,78.65,0.62,0.91,2.73,11.62,50.54,0.08,0.33,1.35,33.76,0.35,0.15,1.32,7.52,1.29,0.32,0.07,0.26,0.06,0.7,49.21,60.05
Benewah County,16009,13.28,35.12,36.21,76.77,0.8,1.12,3.38,13.95,55.45,0.15,0.39,1.75,27.55,0.36,0.18,0.85,6.12,1.51,0.2,0.03,0.62,0.23,1.08,70.8,80.37
Bingham County,16011,14.52,38.33,42.59,78.65,0.66,1.01,3.0,11.28,49.74,0.15,0.31,1.27,23.07,0.35,0.2,1.19,6.74,1.2,0.29,0.02,0.46,0.06,0.83,48.84,58.8
Blaine County,16013,10.71,28.14,24.26,82.99,0.48,0.67,1.92,7.22,36.27,0.09,0.21,1.47,20.85,0.27,0.17,0.85,4.82,0.97,0.2,0.01,0.18,0.03,0.42,29.44,36.49
Boise County,16015,12.27,36.98,38.04,81.05,0.53,0.7,2.31,9.49,41.88,0.07,0.26,1.28,14.19,0.26,0.15,0.92,4.77,1.04,0.22,0.01,0.13,0.02,0.38,43.87,50.98
Bonner County,16017,11.64,29.94,31.19,79.37,0.63,0.93,2.6,10.4,48.7,0.12,0.45,1.53,13.66,0.28,0.22,0.74,5.66,1.1,0.16,0.01,0.56,0.03,0.76,41.76,50.02
Bonneville County,16019,12.6,36.9,34.3,79.0,0.59,0.88,2.49,10.47,51.71,0.14,0.39,1.37,18.46,0.33,0.2,1.1,6.63,1.19,0.27,0.03,0.71,0.06,1.06,53.76,63.75
Boundary County,16021,12.53,33.59,35.42,78.19,0.69,1.04,3.02,11.92,51.54,0.12,0.46,1.3,15.46,0.27,0.21,0.87,6.93,1.08,0.2,0.02,1.04,0.04,1.31,49.14,59.33
Butte County,16023,12.69,35.17,34.2,78.74,0.63,0.89,2.67,11.97,49.51,0.07,0.22,1.3,28.05,0.31,0.17,1.09,4.95,1.26,0.33,0.04,1.02,0.2,1.59,49.48,58.38
Camas County,16025,12.51,36.39,34.37,80.89,0.58,0.8,2.27,9.77,40.98,0.08,0.18,1.5,18.2,0.28,0.13,0.96,4.33,1.1,0.21,0.01,0.15,0.04,0.41,38.51,45.31
Canyon County,16027,14.61,35.46,41.22,79.05,0.68,0.89,2.49,11.26,49.23,0.17,0.64,2.14,21.54,0.36,0.41,1.05,6.68,1.0,0.16,0.01,0.19,0.04,0.4,54.08,63.21
Caribou County,16029,12.62,37.46,36.39,78.79,0.68,0.96,2.87,11.3,49.57,0.1,0.3,1.33,28.04,0.33,0.14,1.19,8.03,1.08,0.32,0.05,0.4,0.07,0.83,48.68,59.8
Cassia County,16031,13.97,39.18,39.51,78.78,0.68,1.02,2.81,11.41,48.97,0.12,0.31,1.8,25.85,0.37,0.21,1.17,5.91,1.53,0.26,0.01,0.14,0.03,0.44,51.94,60.98
Clark County,16033,14.55,38.86,40.97,78.28,0.64,0.87,2.93,12.42,50.68,0.13,0.24,1.47,21.42,0.34,0.16,1.18,5.36,1.43,0.26,0.02,0.44,0.12,0.83,55.6,64.39
Clearwater County,16035,11.8,34.58,36.22,78.63,0.67,1.02,2.9,11.47,49.87,0.1,0.24,1.64,20.39,0.31,0.18,0.89,6.14,1.3,0.24,0.03,0.49,0.08,0.85,60.32,69.5
Custer County,16037,12.27,34.3,33.18,80.4,0.57,0.78,2.59,10.38,42.89,0.07,0.18,1.29,18.3,0.27,0.16,0.98,4.43,1.11,0.26,0.02,0.23,0.04,0.55,41.67,48.74
Elmore County,16039,13.75,34.91,36.09,78.46,0.66,0.82,2.47,12.51,51.47,0.12,0.31,1.87,19.66,0.34,0.2,1.13,5.72,1.45,0.22,0.01,0.11,0.02,0.36,55.75,64.41
Franklin County,16041,12.68,34.48,33.9,80.28,0.54,0.73,2.3,10.01,45.6,0.1,0.29,1.49,28.03,0.35,0.18,1.14,8.02,1.02,0.3,0.03,0.23,0.05,0.62,24.95,35.75
Fremont County,16043,11.98,31.86,30.26,80.08,0.53,0.75,2.29,10.13,47.02,0.1,0.33,1.4,20.22,0.33,0.17,1.02,5.19,1.18,0.24,0.02,0.27,0.06,0.59,34.29,42.27
Gem County,16045,12.83,36.84,40.37,78.47,0.63,0.87,2.67,12.19,50.97,0.11,0.47,1.89,27.13,0.32,0.28,1.07,6.05,1.43,0.18,0.01,0.14,0.02,0.35,58.02,66.93
Gooding County,16047,14.23,38.28,40.74,78.13,0.74,1.09,2.96,12.02,51.18,0.18,0.46,2.01,28.18,0.38,0.23,1.23,6.56,1.58,0.22,0.01,0.14,0.03,0.4,51.28,61.05
Idaho County,16049,12.56,35.23,35.61,79.57,0.61,0.94,2.68,10.87,45.92,0.09,0.22,1.4,22.56,0.3,0.18,0.88,5.23,1.26,0.22,0.02,0.33,0.05,0.62,49.81,57.8
Jefferson County,16051,12.57,38.16,35.36,80.18,0.56,0.81,2.34,9.89,45.8,0.1,0.32,1.25,18.73,0.31,0.18,1.0,5.36,1.18,0.25,0.02,0.46,0.08,0.82,39.79,48.15
Jerome County,16053,14.49,38.35,44.04,78.26,0.77,1.03,2.9,12.07,50.74,0.17,0.36,2.43,24.91,0.38,0.22,1.28,5.89,1.9,0.25,0.01,0.1,0.04,0.4,54.82,64.3
Kootenai County,16055,12.34,31.56,32.5,79.51,0.55,0.75,2.32,10.5,49.48,0.11,0.36,1.58,16.99,0.31,0.19,0.78,6.79,1.32,0.15,0.04,0.55,0.05,0.78,48.92,58.6
Latah County,16057,11.53,30.77,33.66,81.01,0.51,0.52,1.98,9.21,44.64,0.1,0.26,1.59,15.15,0.25,0.18,0.73,5.84,1.31,0.15,0.02,0.31,0.04,0.52,39.29,47.69
Lemhi County,16059,11.66,33.99,33.04,79.39,0.6,0.92,2.64,10.83,47.44,0.08,0.23,1.5,26.02,0.31,0.19,1.05,4.97,1.46,0.27,0.03,0.54,0.07,0.9,57.01,65.39
Lewis County,16061,13.08,35.45,36.54,78.63,0.71,1.03,2.88,12.35,48.39,0.1,0.26,1.33,20.81,0.32,0.19,0.95,7.15,1.7,0.26,0.03,0.48,0.21,0.98,46.61,57.4
Lincoln County,16063,14.46,36.5,38.49,78.4,0.73,1.04,2.98,12.14,48.97,0.13,0.26,1.93,27.0,0.36,0.19,1.26,5.52,1.63,0.24,0.01,0.13,0.04,0.42,54.13,62.96
Madison County,16065,12.19,35.8,34.96,81.09,0.45,0.45,1.88,8.5,46.14,0.09,0.31,1.37,15.38,0.32,0.18,1.05,5.5,1.48,0.25,0.04,0.49,0.1,0.87,26.09,34.98
Minidoka County,16067,15.42,37.6,41.99,78.61,0.71,1.05,3.03,11.71,48.76,0.14,0.34,1.78,23.75,0.37,0.22,1.33,6.14,1.71,0.24,0.01,0.1,0.03,0.37,43.43,52.98
Nez Perce County,16069,12.56,37.7,38.52,78.23,0.75,0.9,2.9,11.99,51.43,0.11,0.32,1.44,24.54,0.32,0.2,0.86,6.51,1.45,0.19,0.02,0.57,0.05,0.83,52.46,62.12
Oneida County,16071,13.09,35.23,34.58,80.21,0.52,0.77,2.38,10.23,45.1,0.06,0.21,1.5,26.86,0.32,0.14,1.15,7.21,1.19,0.28,0.03,0.28,0.05,0.64,35.35,45.55
Owyhee County,16073,14.97,38.02,43.86,78.7,0.72,0.95,2.8,12.29,48.86,0.13,0.31,1.93,23.38,0.4,0.25,1.16,5.38,1.32,0.24,0.01,0.15,0.04,0.44,56.46,64.77
Payette County,16075,13.1,34.16,38.28,78.51,0.68,0.85,2.71,11.52,51.43,0.14,0.46,1.58,15.8,0.3,0.37,1.02,6.05,1.08,0.17,0.01,0.12,0.02,0.31,58.66,67.12
Power County,16077,15.28,37.41,37.83,78.37,0.67,1.02,2.89,11.7,51.11,0.11,0.24,1.41,24.51,0.35,0.19,1.21,7.18,1.43,0.28,0.01,0.25,0.05,0.59,62.48,72.89
Shoshone County,16079,12.66,36.76,36.9,75.9,0.76,1.14,3.69,15.41,57.54,0.13,0.31,1.6,21.63,0.33,0.19,0.95,5.92,1.43,0.24,0.06,0.75,0.49,1.54,64.66,74.5
Teton County,16081,11.67,31.19,29.18,82.11,0.47,0.66,1.99,8.45,39.12,0.11,0.29,1.46,13.98,0.3,0.16,0.88,4.85,0.97,0.22,0.04,0.34,0.06,0.66,25.44,32.8
Twin Falls County,16083,13.01,33.02,38.28,78.04,0.73,0.98,2.86,12.14,52.37,0.12,0.36,2.7,30.34,0.36,0.25,1.37,7.97,1.95,0.22,0.01,0.08,0.01,0.32,60.35,71.96
Valley County,16085,10.9,32.82,32.61,81.84,0.48,0.65,2.06,8.54,40.19,0.07,0.24,1.25,18.99,0.26,0.18,0.83,4.66,1.13,0.22,0.01,0.18,0.03,0.44,32.79,39.85
Washington County,16087,13.55,37.22,39.48,78.71,0.64,0.92,2.73,11.84,49.64,0.14,0.49,1.69,24.05,0.34,0.38,1.0,5.24,1.42,0.19,0.01,0.15,0.03,0.38,50.61,58.65
Adams County,17001,12.8,33.66,36.29,78.7,0.59,0.75,2.41,12.11,51.34,0.13,0.73,2.13,45.48,0.39,0.12,0.81,4.97,0.97,0.22,0.01,0.08,0.01,0.33,62.5,69.57
Alexander County,17003,18.97,41.72,48.51,74.15,0.99,1.35,4.36,18.54,59.82,0.3,1.26,3.37,34.93,0.64,0.23,1.26,5.88,1.98,0.32,0.11,0.19,0.15,0.76,69.41,79.29
Bond County,17005,14.16,35.89,37.36,78.87,0.6,0.78,2.6,12.02,49.86,0.13,0.62,3.17,35.67,0.39,0.14,0.84,5.71,1.12,0.27,0.02,0.07,0.01,0.38,44.43,52.48
Boone County,17007,13.21,35.66,36.91,79.75,0.49,0.69,2.08,10.07,49.96,0.15,0.57,1.78,24.42,0.36,0.12,0.84,5.95,1.1,0.21,0.02,0.07,0.03,0.33,51.15,59.37
Brown County,17009,14.83,38.43,39.52,79.09,0.53,0.74,2.5,11.42,50.29,0.18,0.91,2.54,27.36,0.42,0.11,0.88,5.69,1.32,0.25,0.02,0.08,0.01,0.35,54.13,62.37
